Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,IMU.header.seq,IMU.header.stamp.secs,IMU.header.stamp.nsecs,IMU.header.frame_id,IMU.orientation.x,IMU.orientation.y,IMU.orientation.z,IMU.orientation.w,IMU.orientation_covariance,IMU.angular_velocity.x,IMU.angular_velocity.y,IMU.angular_velocity.z,IMU.angular_velocity_covariance,IMU.linear_acceleration.x,IMU.linear_acceleration.y,IMU.linear_acceleration.z,IMU.linear_acceleration_covariance,MagField.header.seq,MagField.header.stamp.secs,MagField.header.stamp.nsecs,MagField.header.frame_id,MagField.magnetic_field.x,MagField.magnetic_field.y,MagField.magnetic_field.z,MagField.magnetic_field_covariance,imu_string
1711642272.7108154,0,1711642272,710020303,imu1_frame,0,0,0,,0.6838757840117416,0.6700568996929152,0.20982341559287235,-0.198272029,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.014426,0.002723,-0.2267,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.878,-0.612,-9.418,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.2119,0.1617,-0.2787,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-083.269,-002.556,-000.012,-00.2119,+00.1617,-00.2787,-00.878,-00.612,-09.418,-00.014426,+00.002723,-00.226700*69\r\n'"
1711642272.7344844,0,1711642272,734017848,imu1_frame,0,0,0,,0.7835662713828916,0.549365227,0.24250781364820317,-0.159410494,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.022434,0.002331,-0.22174,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.929,-0.595,-9.532,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.212,0.1557,-0.2678,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-083.594,-002.553,-000.020,-00.2120,+00.1557,-00.2678,-00.929,-00.595,-09.532,-00.022434,+00.002331,-00.221748*6E\r\n'"
1711642272.7592802,0,1711642272,758762121,imu1_frame,0,0,0,,0.8619845919640432,0.4141782937729698,0.2688367408716689,-0.114741932,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.024898,0.000655,-0.22054,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.81,-0.615,-9.429,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.2097,0.1556,-0.2649,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-083.918,-002.549,-000.030,-00.2097,+00.1556,-00.2649,-00.810,-00.615,-09.429,-00.024898,+00.000655,-00.220540*6B\r\n'"
1711642272.7843187,0,1711642272,783742427,imu1_frame,0,0,0,,0.9168451040714812,0.26871323238126343,0.28724014671919373,-0.068420406,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.019967,0.002015,-0.22261,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.804,-0.7,-9.286,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.2166,0.1595,-0.2721,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-084.242,-002.543,-000.035,-00.2166,+00.1595,-00.2721,-00.804,-00.700,-09.286,-00.019967,+00.002015,-00.222613*63\r\n'"
1711642272.8095062,0,1711642272,808804512,imu1_frame,0,0,0,,0.9474435770517879,0.11548711845318214,0.29782923554267066,-0.017639168,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.014778,0.00061,-0.22373,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.777,-0.655,-9.117,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.2167,0.1583,-0.2639,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-084.567,-002.537,-000.043,-00.2167,+00.1583,-00.2639,-00.777,-00.655,-09.117,-00.014778,+00.000610,-00.223732*61\r\n'"
1711642272.8349528,0,1711642272,834263086,imu1_frame,0,0,0,,0.9527981465621581,-0.042736141,0.29839474242329533,0.036192428,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.015219,0.001152,-0.22927,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.756,-0.757,-9.215,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.2166,0.1595,-0.268,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-084.896,-002.533,-000.053,-00.2166,+00.1595,-00.2680,-00.756,-00.757,-09.215,-00.015219,+00.001152,-00.229279*61\r\n'"
1711642272.8618493,0,1711642272,861296176,imu1_frame,0,0,0,,0.9316364396170955,-0.200257085,0.2885631452249782,0.093177011,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.0255,0.000648,-0.22753,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.754,-0.66,-9.185,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.2202,0.1596,-0.2668,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-085.224,-002.529,-000.071,-00.2202,+00.1596,-00.2668,-00.754,-00.660,-09.185,-00.025500,+00.000648,-00.227535*61\r\n'"
1711642272.8842187,0,1711642272,883693933,imu1_frame,0,0,0,,0.8841591443808849,-0.352491439,0.26830647204663993,0.14840495143861968,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.026341,0.001919,-0.22899,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.71,-0.599,-9.151,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.2214,0.1524,-0.2654,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-085.553,-002.524,-000.090,-00.2214,+00.1524,-00.2654,-00.710,-00.599,-09.151,-00.026341,+00.001919,-00.228990*6F\r\n'"
1711642272.9094675,0,1711642272,908833265,imu1_frame,0,0,0,,0.8119318487519439,-0.494510638,0.23776474096622296,0.1992331040902055,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.027214,0.001344,-0.22508,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.636,-0.58,-9.005,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.2226,0.1536,-0.2696,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-085.882,-002.519,-000.109,-00.2226,+00.1536,-00.2696,-00.636,-00.580,-09.005,-00.027214,+00.001344,-00.225082*65\r\n'"
1711642272.9343233,0,1711642272,933794736,imu1_frame,0,0,0,,0.7175761484401139,-0.620963202,0.1973690398497864,0.24603787317954867,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.03029,0.006275,-0.22289,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.646,-0.534,-9.207,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.2203,0.1475,-0.2763,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","$VNYMR,-086.206,-002.512,-000.134,-00.2203,+00.1475,-00.2763,-00.646,-00.534,-09.207,-00.030290,+00.006275,-00.222890*65\r\n'"
