%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter,field.hdop,field.gngga_read,field.fix_quality
1708069263220142254,34,1708104468000000000,GPS1_Frame,42.33721692666667,-71.08685854833334,8.376,328083.23237493564,4689327.216617529,19,T,1.1,,5
1708069264240509973,35,1708104469000000000,GPS1_Frame,42.33721677,-71.08685872666666,8.312,328083.21725617175,4689327.199581448,19,T,1.3,,5
1708069265248290668,36,1708104470000000000,GPS1_Frame,42.337216735,-71.08685897,8.248,328083.19711399754,4689327.196186939,19,T,1.3,,5
1708069266254607113,37,1708104471000000000,GPS1_Frame,42.33721684333333,-71.08685934833333,8.178,328083.16624056967,4689327.208981447,19,T,1.3,,5
1708069267263451161,38,1708104472000000000,GPS1_Frame,42.33721706833333,-71.086859845,8.106,328083.12593628676,4689327.234970144,19,T,1.3,,5
1708069268270962990,39,1708104473000000000,GPS1_Frame,42.33721744666666,-71.08686044833334,8.047,328083.0772622213,4689327.278200996,19,T,1.5,,5
1708069269276739959,40,1708104474000000000,GPS1_Frame,42.337218021666665,-71.08686122166667,7.995,328083.01511880266,4689327.343613891,19,T,1.5,,5
1708069270284413858,41,1708104475000000000,GPS1_Frame,42.33721828,-71.086861965,7.864,328082.95458395313,4689327.373802715,19,T,1.5,,5
1708069271289261812,42,1708104476000000000,GPS1_Frame,42.33721885,-71.08686295333334,7.709,328082.87471432926,4689327.439095087,19,T,1.5,,5
1708069272297183706,43,1708104477000000000,GPS1_Frame,42.337219233333336,-71.08686451166666,7.531,328082.7473770876,4689327.484811987,19,T,1.3,,5
1708069273388952391,44,1708104478000000000,GPS1_Frame,42.33721979166667,-71.08686568333333,7.387,328082.6523719244,4689327.549179534,19,T,1.5,,5
1708069274393188342,45,1708104479000000000,GPS1_Frame,42.337220028333334,-71.08686742666667,7.299,328082.50939394254,4689327.57898426,19,T,1.3,,5
1708069275484421398,46,1708104480000000000,GPS1_Frame,42.33722033666667,-71.08686930333333,7.184,328082.3556267181,4689327.617016599,19,T,1.3,,5
1708069276576890384,47,1708104481000000000,GPS1_Frame,42.337220693333336,-71.08687107333333,7.091,328082.21077884827,4689327.660200331,19,T,1.3,,5
1708069277668929909,48,1708104482000000000,GPS1_Frame,42.337221111666665,-71.08687282666666,7.0,328082.06747209624,4689327.710197979,19,T,1.3,,5
1708069278820466865,49,1708104483000000000,GPS1_Frame,42.33722139,-71.08687423166667,6.958,328081.95248095004,4689327.743945433,19,T,1.1,,5
1708069279874072441,50,1708104484000000000,GPS1_Frame,42.33722191,-71.086875555,6.861,328081.84487641236,4689327.804363009,19,T,1.1,,5
1708069280964830364,51,1708104485000000000,GPS1_Frame,42.337222196666666,-71.08687672166667,6.842,328081.7495428545,4689327.838553951,19,T,1.1,,5
1708069282055350763,52,1708104486000000000,GPS1_Frame,42.33722254333333,-71.08687810166667,6.785,328081.6367975319,4689327.879838758,19,T,1.1,,5
1708069283145828520,53,1708104487000000000,GPS1_Frame,42.33722295166667,-71.08687923,6.707,328081.5449535906,4689327.927462354,19,T,1.1,,5
1708069284237890809,54,1708104488000000000,GPS1_Frame,42.337223443333336,-71.086879985,6.584,328081.4840934706,4689327.983584665,19,T,1.1,,5
1708069285362256290,55,1708104489000000000,GPS1_Frame,42.337223925,-71.08688088333334,6.467,328081.4113977133,4689328.038886346,19,T,1.1,,5
1708069286452228252,56,1708104490000000000,GPS1_Frame,42.33722437833333,-71.08688194666667,6.374,328081.32503137074,4689328.091375431,19,T,1.1,,5
1708069287543390637,57,1708104491000000000,GPS1_Frame,42.3372249,-71.08688303,6.324,328081.23720356944,4689328.151492851,19,T,1.1,,5
1708069288634289248,58,1708104492000000000,GPS1_Frame,42.33722556833333,-71.08688424666667,6.238,328081.13879091037,4689328.2281660605,19,T,1.1,,5
1708069289722249239,59,1708104493000000000,GPS1_Frame,42.337226013333336,-71.08688515166666,6.196,328081.06544601265,4689328.279409673,19,T,1.1,,5
1708069290815170568,60,1708104494000000000,GPS1_Frame,42.33722645333334,-71.08688608166666,6.119,328080.990027884,4689328.330148621,19,T,1.1,,5
1708069291904797387,61,1708104495000000000,GPS1_Frame,42.33722672333333,-71.08688696333333,6.084,328080.9181283775,4689328.3619126445,19,T,1.1,,5
1708069293004363744,62,1708104496000000000,GPS1_Frame,42.33722711,-71.08688795166667,6.052,328080.8377591733,4689328.406847273,19,T,1.1,,5
1708069294093216735,63,1708104497000000000,GPS1_Frame,42.33722758,-71.08688891166666,6.023,328080.75995128136,4689328.460978149,19,T,1.1,,5
1708069295183440038,64,1708104498000000000,GPS1_Frame,42.33722793333333,-71.08688963833333,6.043,328080.70104840654,4689328.50168232,19,T,1.1,,5
1708069296272433707,65,1708104499000000000,GPS1_Frame,42.337228378333336,-71.08689035666667,6.046,328080.6430818726,4689328.552548528,19,T,1.1,,5
1708069297362974609,66,1708104500000000000,GPS1_Frame,42.33722867666667,-71.08689105,6.022,328080.5867752512,4689328.587077976,19,T,1.1,,5
1708069298455309992,67,1708104501000000000,GPS1_Frame,42.33722886666666,-71.08689128166667,6.023,328080.56820738723,4689328.6086444175,19,T,1.2,,5
1708069299460811452,68,1708104502000000000,GPS1_Frame,42.337229103333335,-71.08689158166666,5.986,328080.5441371196,4689328.635530997,19,T,2.4,,5
1708069300472236735,69,1708104503000000000,GPS1_Frame,42.33722923166667,-71.08689184833334,5.971,328080.52251776203,4689328.6503205905,19,T,2.4,,5
1708069301540548050,70,1708104504000000000,GPS1_Frame,42.33722944833333,-71.08689222333334,5.944,328080.4922141837,4689328.67513796,19,T,2.4,,5
1708069302576248029,71,1708104505000000000,GPS1_Frame,42.337229451666666,-71.08689226833333,5.936,328080.48851598706,4689328.675599084,19,T,2.4,,5
1708069303583369176,72,1708104506000000000,GPS1_Frame,42.337229556666664,-71.08689243166667,5.889,328080.4753460628,4689328.687588765,19,T,2.4,,5
1708069304590588436,73,1708104507000000000,GPS1_Frame,42.337229685,-71.08689251333334,5.836,328080.46896775893,4689328.70200432,19,T,2.4,,5
1708069305597808602,74,1708104508000000000,GPS1_Frame,42.33722956166667,-71.08689252,5.831,328080.4680824258,4689328.688322575,19,T,2.4,,5
1708069306607987866,75,1708104509000000000,GPS1_Frame,42.33722948333333,-71.086892595,5.801,328080.46169015113,4689328.679775894,19,T,2.4,,5
1708069307611719460,76,1708104510000000000,GPS1_Frame,42.33722925166666,-71.08689236166667,5.805,328080.48028177256,4689328.653579317,19,T,2.4,,5
1708069308620582242,77,1708104511000000000,GPS1_Frame,42.337229046666664,-71.08689129666666,5.755,328080.5674621569,4689328.628662371,19,T,2.4,,4
1708069309625507631,78,1708104512000000000,GPS1_Frame,42.33722904333333,-71.08689130333333,5.755,328080.5669038454,4689328.628305708,19,T,2.4,,4
1708069310633914469,79,1708104513000000000,GPS1_Frame,42.33722904333333,-71.08689131,5.755,328080.5663546178,4689328.628319187,19,T,2.4,,4
1708069311670444404,80,1708104514000000000,GPS1_Frame,42.337228378333336,-71.08689147166666,5.77,328080.55122362735,4689328.554802879,19,T,2.4,,5
1708069312676707124,81,1708104515000000000,GPS1_Frame,42.33722816833333,-71.08689130833334,5.792,328080.56410740793,4689328.531153749,19,T,1.9,,1
1708069313687385207,82,1708104516000000000,GPS1_Frame,42.337227793333334,-71.08689050166667,5.845,328080.6295419616,4689328.487881909,19,T,1.5,,4
1708069314697151560,83,1708104517000000000,GPS1_Frame,42.33722801166667,-71.08689031166666,5.737,328080.645789932,4689328.511742011,19,T,1.5,,5
1708069315708898621,84,1708104518000000000,GPS1_Frame,42.33722791666667,-71.08688987333333,5.723,328080.68164272746,4689328.500306747,19,T,1.5,,5
1708069316715312914,85,1708104519000000000,GPS1_Frame,42.33722778,-71.08688941666666,5.698,328080.71889235335,4689328.484207652,19,T,1.5,,5
1708069317723640244,86,1708104520000000000,GPS1_Frame,42.33722773666667,-71.08688921166667,5.693,328080.7356629976,4689328.478981338,19,T,1.5,,5
1708069318729851694,87,1708104521000000000,GPS1_Frame,42.33722761666667,-71.08688896666666,5.683,328080.7555200787,4689328.465160903,19,T,1.5,,5
1708069319743372730,88,1708104522000000000,GPS1_Frame,42.33722759333333,-71.08688888333333,5.663,328080.7623218314,4689328.462401427,19,T,1.5,,5
1708069320770013707,89,1708104523000000000,GPS1_Frame,42.337227516666665,-71.086888915,5.654,328080.7595040731,4689328.453952204,19,T,1.5,,5
1708069321773276022,90,1708104524000000000,GPS1_Frame,42.337227508333335,-71.08688913333333,5.635,328080.7414941737,4689328.453468287,19,T,1.5,,5
1708069322778374836,91,1708104525000000000,GPS1_Frame,42.33722742,-71.08688955,5.618,328080.7069267524,4689328.4445019765,19,T,1.5,,5
1708069323785069514,92,1708104526000000000,GPS1_Frame,42.337227325,-71.08688993166666,5.6,328080.67522460566,4689328.434724621,19,T,1.5,,5
1708069324794409530,93,1708104527000000000,GPS1_Frame,42.33722722666667,-71.086890385,5.581,328080.6376091798,4689328.424722022,19,T,1.5,,5
1708069325801215325,94,1708104528000000000,GPS1_Frame,42.337227041666665,-71.08689089,5.556,328080.59550106706,4689328.405200213,19,T,1.5,,5
1708069326808682947,95,1708104529000000000,GPS1_Frame,42.337226963333336,-71.08689152,5.546,328080.54338562617,4689328.397775656,19,T,1.5,,5
1708069327816576035,96,1708104530000000000,GPS1_Frame,42.33722692,-71.08689229166667,5.529,328080.47969448596,4689328.394524005,19,T,1.5,,5
1708069328822944008,97,1708104531000000000,GPS1_Frame,42.33722686,-71.08689304333333,5.531,328080.4176056112,4689328.389381215,19,T,1.5,,5
1708069329830980432,98,1708104532000000000,GPS1_Frame,42.33722700333333,-71.08689398666667,5.498,328080.3402805694,4689328.407204557,19,T,1.5,,5
1708069330841058965,99,1708104533000000000,GPS1_Frame,42.337227133333336,-71.08689496333334,5.467,328080.2601730566,4689328.423614733,19,T,1.5,,5
1708069331847197756,100,1708104534000000000,GPS1_Frame,42.337227133333336,-71.08689584,5.443,328080.18794968,4689328.425387217,19,T,1.5,,5
1708069332854397234,101,1708104535000000000,GPS1_Frame,42.33722723333333,-71.08689684166667,5.409,328080.10570080846,4689328.438516667,19,T,1.5,,5
1708069333860966805,102,1708104536000000000,GPS1_Frame,42.33722728666667,-71.08689786333333,5.386,328080.02167708403,4689328.446504578,19,T,1.5,,5
1708069334887144036,103,1708104537000000000,GPS1_Frame,42.337227285,-71.08689886,5.37,328079.9395630752,4689328.448334614,19,T,1.5,,5
1708069335897088385,104,1708104538000000000,GPS1_Frame,42.33722737833333,-71.08689988666667,5.334,328079.85523643653,4689328.460774333,19,T,1.5,,5
1708069336900582221,105,1708104539000000000,GPS1_Frame,42.33722748833333,-71.08690114,5.346,328079.75228149607,4689328.475523044,19,T,1.5,,4
1708069337906260924,106,1708104540000000000,GPS1_Frame,42.33722748833333,-71.08690113333333,5.344,328079.7528307216,4689328.475509565,19,T,1.3,,4
1708069338995471642,107,1708104541000000000,GPS1_Frame,42.337227615,-71.08690306833333,5.244,328079.5937627172,4689328.493487213,19,T,1.3,,5
1708069340105521740,108,1708104542000000000,GPS1_Frame,42.337227821666666,-71.08690438833334,5.202,328079.4855789355,4689328.519104813,19,T,1.1,,5
