%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter,field.hdop,field.gngga_read,field.fix_quality
1708068407130768944,49,1708102276000000000,GPS1_Frame,42.33824174833333,-71.086506465,23.227,328115.03075654386,4689440.303460872,19,T,0.8,,5
1708068408387034416,50,1708102277000000000,GPS1_Frame,42.33824169166667,-71.08650642166667,23.229,328115.0341720602,4689440.297080874,19,T,0.8,,5
1708068409647015596,51,1708102278000000000,GPS1_Frame,42.33824165666667,-71.08650641833333,23.225,328115.03435130784,4689440.293187652,19,T,0.8,,5
1708068410906924749,52,1708102279000000000,GPS1_Frame,42.33824156666667,-71.08650643,23.23,328115.03314495046,4689440.283217422,19,T,0.8,,5
1708068412161151993,53,1708102280000000000,GPS1_Frame,42.33824147833333,-71.08650642,23.23,328115.03372809256,4689440.273388463,19,T,0.8,,5
1708068413436319333,54,1708102281000000000,GPS1_Frame,42.33824142666667,-71.086506435,23.235,328115.03235157626,4689440.267681596,19,T,0.8,,5
1708068414691098306,55,1708102282000000000,GPS1_Frame,42.338241276666665,-71.08650647,23.241,328115.02905947366,4689440.25109599,19,T,0.8,,5
1708068415951557630,56,1708102283000000000,GPS1_Frame,42.338241195,-71.08650654666667,23.237,328115.0225209451,4689440.24218251,19,T,0.8,,5
1708068417215001995,57,1708102284000000000,GPS1_Frame,42.338241153333335,-71.08650665,23.249,328115.01389453,4689440.2377646305,19,T,0.8,,5
1708068418488902137,58,1708102285000000000,GPS1_Frame,42.33824112166667,-71.08650672333333,23.26,328115.0077668454,4689440.234396529,19,T,0.8,,5
1708068419746716103,59,1708102286000000000,GPS1_Frame,42.33824102333333,-71.08650674166667,23.262,328115.0059885653,4689440.223514422,19,T,0.8,,5
1708068421005271948,60,1708102287000000000,GPS1_Frame,42.33824092333333,-71.08650675,23.274,328115.0050295712,4689440.212427028,19,T,0.8,,5
1708068422260381542,61,1708102288000000000,GPS1_Frame,42.3382408,-71.08650679833333,23.283,328115.0007116921,4689440.198829507,19,T,0.8,,5
1708068423528147030,62,1708102289000000000,GPS1_Frame,42.338240713333334,-71.08650687,23.279,328114.9945714524,4689440.189350706,19,T,0.8,,5
1708068424785634677,63,1708102290000000000,GPS1_Frame,42.33824057166667,-71.08650694833334,23.299,328114.98773213476,4689440.173778051,19,T,0.8,,5
